id	me_id	name	formula	compartment	type
10m3hddcaACP_c					CURATE
10m3hundecACP_c					CURATE
10m3oddcaACP_c					CURATE
10m3oundecACP_c					CURATE
10mddcaACP_c					CURATE
10mtddec2eACP_c					CURATE
10mundecACP_c					CURATE
11m3hddcaACP_c					CURATE
11m3oddcaACP_c					CURATE
11mddcaACP_c					CURATE
11mtddec2eACP_c					CURATE
12m3hmyrsACP_c					CURATE
12m3htridecACP_c					CURATE
12m3omyrsACP_c					CURATE
12m3otridecACP_c					CURATE
12mmyrsACP_c					CURATE
12mtmrs2eACP_c					CURATE
12mtridecACP_c					CURATE
13m3hmyrsACP_c					CURATE
13m3omyrsACP_c					CURATE
13mmyrsACP_c					CURATE
13mtmrs2eACP_c					CURATE
14m3hpalmACP_c					CURATE
14m3hpentdecACP_c					CURATE
14m3opalmACP_c					CURATE
14m3opentdecACP_c					CURATE
14mpalmACP_c					CURATE
14mpentdecACP_c					CURATE
14mtpalm2eACP_c					CURATE
15m3hpalmACP_c					CURATE
15m3opalmACP_c					CURATE
15mpalmACP_c					CURATE
15mtpalm2eACP_c					CURATE
2mbutACP_c					CURATE
2mpropACP_c					CURATE
3mbutACP_c					CURATE
4m3hhexACP_c					CURATE
4m3hpentACP_c					CURATE
4m3ohexACP_c					CURATE
4m3opentACP_c					CURATE
4mhexACP_c					CURATE
4mpentACP_c					CURATE
4mthex2eACP_c					CURATE
5m3hhexACP_c					CURATE
5m3ohexACP_c					CURATE
5mhexACP_c					CURATE
5mthex2eACP_c					CURATE
6m3hheptACP_c					CURATE
6m3hocACP_c					CURATE
6m3oheptACP_c					CURATE
6m3oocACP_c					CURATE
6mheptACP_c					CURATE
6mocACP_c					CURATE
6mtoct2eACP_c					CURATE
7m3hocACP_c					CURATE
7m3oocACP_c					CURATE
7mocACP_c					CURATE
7mtoct2eACP_c					CURATE
8m3hdcaACP_c					CURATE
8m3hnonACP_c					CURATE
8m3odcaACP_c					CURATE
8m3ononACP_c					CURATE
8mdcaACP_c					CURATE
8mnonACP_c					CURATE
8mtdec2eACP_c					CURATE
9m3hdcaACP_c					CURATE
9m3odcaACP_c					CURATE
9mdcaACP_c					CURATE
9mtdec2eACP_c					CURATE
alatrna_c					REMOVE
argtrna_c					REMOVE
asntrna_c					REMOVE
asptrna_c					REMOVE
bwco1gdp_c					REMOVE
bwco_c					REMOVE
bwcogdp_c					REMOVE
cystrna_c					REMOVE
fmettrna_c					REMOVE
glntrna_c					REMOVE
glutrna_c					REMOVE
glytrna_c					REMOVE
histrna_c					REMOVE
iletrna_c					REMOVE
leutrna_c					REMOVE
lipopb_c					REMOVE
lystrna_c					REMOVE
mettrna_c					REMOVE
octapb_c					REMOVE
phetrna_c					REMOVE
protrna_c					REMOVE
sectrna_c					REMOVE
sertrna[sec]_c					REMOVE
sertrna_c					REMOVE
thrtrna_c					REMOVE
trnaala_c					REMOVE
trnaarg_c					REMOVE
trnaasn_c					REMOVE
trnaasp_c					REMOVE
trnacys_c					REMOVE
trnagln_c					REMOVE
trnaglu_c					REMOVE
trnagly_c					REMOVE
trnahis_c					REMOVE
trnaile_c					REMOVE
trnaleu_c					REMOVE
trnalys_c					REMOVE
trnamet_c					REMOVE
trnaphe_c					REMOVE
trnapro_c					REMOVE
